,Cuisines,Rating,Cost,Timings
0,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
1,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
2,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
3,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
4,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
5,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
6,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
7,"Chinese, Continental, Kebab, European, South Indian, North Indian",4,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
8,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
9,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
10,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
11,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
12,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
13,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
14,"Chinese, Continental, Kebab, European, South Indian, North Indian",1,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
15,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
16,"Chinese, Continental, Kebab, European, South Indian, North Indian",4,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
17,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
18,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
19,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
20,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
21,"Chinese, Continental, Kebab, European, South Indian, North Indian",4,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
22,"Chinese, Continental, Kebab, European, South Indian, North Indian",4,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
23,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
24,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
25,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
26,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
27,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
28,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
29,"Chinese, Continental, Kebab, European, South Indian, North Indian",4,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
30,"Chinese, Continental, Kebab, European, South Indian, North Indian",3,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
31,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
32,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
33,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
34,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
35,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
36,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
37,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
38,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
39,"Chinese, Continental, Kebab, European, South Indian, North Indian",4,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
40,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
41,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
42,"Chinese, Continental, Kebab, European, South Indian, North Indian",4,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
43,"Chinese, Continental, Kebab, European, South Indian, North Indian",4,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
44,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
45,"Chinese, Continental, Kebab, European, South Indian, North Indian",3,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
46,"Chinese, Continental, Kebab, European, South Indian, North Indian",4,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
47,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
48,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
49,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
50,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
51,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
52,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
53,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
54,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
55,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
56,"Chinese, Continental, Kebab, European, South Indian, North Indian",3,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
57,"Chinese, Continental, Kebab, European, South Indian, North Indian",4,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
58,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
59,"Chinese, Continental, Kebab, European, South Indian, North Indian",4,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
60,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
61,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
62,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
63,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
64,"Chinese, Continental, Kebab, European, South Indian, North Indian",4,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
65,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
66,"Chinese, Continental, Kebab, European, South Indian, North Indian",1,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
67,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
68,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
69,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
70,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
71,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
72,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
73,"Chinese, Continental, Kebab, European, South Indian, North Indian",3,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
74,"Chinese, Continental, Kebab, European, South Indian, North Indian",4,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
75,"Chinese, Continental, Kebab, European, South Indian, North Indian",2,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
76,"Chinese, Continental, Kebab, European, South Indian, North Indian",3,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
77,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
78,"Chinese, Continental, Kebab, European, South Indian, North Indian",5,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
79,"Chinese, Continental, Kebab, European, South Indian, North Indian",1,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
80,"Chinese, Continental, Kebab, European, South Indian, North Indian",1,800,"12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
